incident_id,offense_code_encoded,offense_category_name_encoded,crime_against_encoded,agency_name_encoded,ct_flag_encoded,ARREST,incident_hour
173660718,34,6,1,2,0,0,5.0
173660719,34,6,1,2,0,0,15.0
173660720,30,10,1,2,1,0,10.0
173660721,30,10,1,2,1,0,10.0
173660722,34,6,1,2,0,0,22.0
173660724,34,6,1,2,0,0,13.0
173660726,34,6,1,2,0,0,18.0
173660728,20,14,1,2,1,0,2.0
173660730,22,14,1,2,1,0,6.0
173660732,34,6,1,2,0,0,22.0
173660734,22,14,1,2,1,0,15.0
173660738,14,4,1,2,1,0,17.0
173660740,14,4,1,2,1,0,22.0
173660742,30,10,1,2,1,0,11.0
173660743,20,14,1,2,1,0,0.0
173660745,17,14,1,2,0,0,20.0
173660747,17,14,1,2,0,0,19.0
173660749,17,14,1,2,0,0,15.0
173660751,26,10,1,2,1,0,14.0
165375308,14,4,1,21,1,0,13.0
165375310,22,14,1,21,1,0,10.0
165375312,22,14,1,21,1,0,14.0
165375315,3,13,0,21,0,1,23.0
165375319,22,14,1,21,1,0,9.0
165375321,14,4,1,21,1,0,0.0
165375327,14,4,1,21,1,1,22.0
165375329,14,4,1,21,1,0,11.0
165375331,10,2,0,21,0,0,19.0
165375334,10,2,0,21,0,0,4.0
165375336,10,2,0,21,0,0,9.0
165375338,10,2,0,21,0,0,17.0
165375340,22,14,1,21,1,0,18.0
165375342,9,2,0,21,0,1,19.0
165375352,17,14,1,21,0,1,11.0
165375355,17,14,1,21,0,0,15.0
165375359,47,23,2,21,0,0,18.0
165375361,23,15,1,21,1,0,8.0
165375363,9,2,0,21,0,1,8.0
165375365,10,2,0,21,0,1,23.0
165375367,14,4,1,21,1,0,9.0
165375369,34,6,1,21,0,0,15.0
165375371,22,14,1,21,1,0,0.0
165375374,34,6,1,21,0,0,16.0
165375375,22,14,1,21,1,0,11.0
165376750,22,14,1,81,1,0,18.0
165376752,10,2,0,81,0,0,12.0
165376754,7,21,0,81,0,0,21.0
165376756,9,2,0,81,0,0,17.0
165376758,14,4,1,81,1,0,15.0
165453991,22,14,1,9,1,0,19.0
165454273,10,2,0,9,0,1,1.0
165454282,34,6,1,9,0,0,3.0
165454284,32,8,1,9,1,0,13.0
165454287,34,6,1,9,0,0,6.0
165454293,10,2,0,9,0,0,13.0
165454295,34,6,1,9,0,0,12.0
165454297,34,6,1,9,0,0,12.0
165454302,34,6,1,9,0,0,0.0
165454304,48,0,2,9,0,1,15.0
165454305,26,10,1,9,1,0,18.0
165454309,47,23,2,9,0,0,13.0
165454311,9,2,0,9,0,0,21.0
165454317,23,15,1,9,1,0,6.0
165454321,10,2,0,9,0,1,7.0
165454324,34,6,1,9,0,0,8.0
165454327,26,10,1,9,1,0,11.0
165454328,10,2,0,9,0,1,14.0
165454330,34,6,1,9,0,0,13.0
165454334,22,14,1,9,1,0,16.0
165454337,10,2,0,9,0,1,2.0
165454339,35,7,2,9,0,1,1.0
165454342,34,6,1,9,0,1,5.0
165454350,23,15,1,9,1,0,13.0
165454355,3,13,0,9,0,0,14.0
165454360,10,2,0,9,0,0,16.0
165454362,17,14,1,9,0,0,13.0
165454365,26,10,1,9,1,0,17.0
165454367,34,6,1,9,0,0,0.0
