Group,Sample_Size,Accuracy,Precision,Recall,F1_Score,AUC,Specificity,Positive_Rate
Large_Agencies,25234,0.7772,0.4462,0.7979,0.5723,0.8643,0.7724,0.187
Small_Agencies,3838,0.735,0.4333,0.7956,0.5611,0.824,0.7186,0.213
High_Severity_Crimes,14592,0.8619,0.3162,0.5828,0.41,0.8395,0.8869,0.082
Low_Severity_Crimes,14480,0.6806,0.481,0.8571,0.6162,0.8156,0.6053,0.299
Day_Time,18303,0.7734,0.4281,0.7877,0.5547,0.858,0.7703,0.179
Night_Time,10769,0.7685,0.4692,0.8118,0.5947,0.8598,0.757,0.209
CT_Flag_True,10272,0.9681,0.2727,0.0093,0.018,0.702,0.9992,0.031
CT_Flag_False,18800,0.6643,0.4444,0.8464,0.5828,0.8107,0.5944,0.277
High_Crime_Against,2737,0.7304,0.5805,0.9419,0.7183,0.8649,0.6087,0.365
Low_Crime_Against,26335,0.7759,0.4176,0.7657,0.5405,0.8512,0.778,0.172
