Crime_Category,Incidents,Arrests,Observed_Rate,Posterior_Mean,Posterior_Std,CI_Lower,CI_Upper,CI_Width,Effect_Size,Precision,Log_Bayes_Factor,Alpha_Post,Beta_Post
Larceny/Theft Offenses,27614.0,2646.0,0.09582096038241472,0.09585867361714451,0.0017712616697164092,0.09241488744427406,0.09935788651271842,0.006942999068444353,0.5207066319142775,318738.51937134576,1109.452519289608,2648.0,24976.0
Assault Offenses,23550.0,9721.0,0.4127813163481953,0.4126910016977929,0.0032073692973756053,0.4064117524316993,0.418984290887262,0.01257253845556272,1.0634550084889642,97208.01274883546,2767.715905330991,9723.0,13837.0
Destruction/Damage/Vandalism of Property,13335.0,1319.0,0.09891263592050993,0.09898838516298239,0.002585126229740639,0.09397887205456865,0.10411174052974125,0.010132868475172599,0.5050580741850881,149636.13824898776,501.10770228142565,1321.0,12024.0
Motor Vehicle Theft,7482.0,198.0,0.026463512429831595,0.026695141484249868,0.0018621415593771192,0.02316661934997013,0.03046293052264234,0.00729631117267221,0.8665242925787506,288386.2928908393,1029.5559433030128,200.0,7292.0
Fraud Offenses,6104.0,130.0,0.02129750982961992,0.021589793915603533,0.0018586024481825245,0.018097538989146532,0.025378352611494813,0.007280813622348281,0.8920510304219823,289485.61662259506,913.2893100408563,132.0,5982.0
Drug/Narcotic Offenses,5149.0,2924.0,0.5678772577199456,0.5671641791044776,0.0068974910201539934,0.553621251591695,0.5806577827897196,0.027036531198024627,1.8358208955223878,21019.274047186933,1681.0690464025142,2926.0,2233.0
Burglary/Breaking & Entering,4985.0,304.0,0.06098294884653962,0.06126126126126126,0.003392767679050152,0.054779758670770104,0.06807547843789108,0.013295719767120975,0.6936936936936938,86874.3874901208,388.93094889114946,306.0,4689.0
Weapon Law Violations,3830.0,489.0,0.12767624020887727,0.12786458333333334,0.005388215314028115,0.11748921533235522,0.1386070781017154,0.021117862769360188,0.36067708333333337,34443.72524491306,69.68708965911651,491.0,3349.0
Sex Offenses,1432.0,78.0,0.05446927374301676,0.05547850208044383,0.006026083169822227,0.0442636582879774,0.06786041444273666,0.023596756154759257,0.7226074895977809,27537.832709251103,124.84723848298793,80.0,1362.0
Stolen Property Offenses,707.0,329.0,0.46534653465346537,0.4616457461645746,0.018604854220735774,0.42529307938121946,0.49820109173730037,0.07290801235608091,1.3082287308228728,2888.9994364697964,125.49766074472487,331.0,386.0
Embezzlement,665.0,85.0,0.12781954887218044,0.1288888888888889,0.012887573897415907,0.1046946650124415,0.15516514997860062,0.05047048496615912,0.3555555555555556,6020.847994370162,12.048757138143742,87.0,588.0
Robbery,495.0,40.0,0.08080808080808081,0.08316831683168317,0.012275763253366505,0.06071784259760443,0.10874218738792224,0.04802434479031781,0.5841584158415841,6635.948266995783,26.94224366106762,42.0,463.0
Counterfeiting/Forgery,480.0,17.0,0.035416666666666666,0.03877551020408163,0.008712653206172509,0.023552400716855968,0.05755292627096337,0.0340005255541074,0.8061224489795918,13173.43837300257,57.190831787811284,19.0,471.0
Arson,226.0,23.0,0.10176991150442478,0.1059322033898305,0.01999056440660294,0.07003820717335654,0.14814086790343395,0.0781026607300774,0.47033898305084754,2502.360568720379,7.971483779085531,25.0,211.0
Extortion/Blackmail,213.0,2.0,0.009389671361502348,0.017937219730941704,0.008867948878864272,0.004930582072610851,0.03898213771711604,0.03405155564450519,0.9103139013452916,12716.091324200914,38.97529438062881,4.0,219.0
Pornography/Obscene Material,180.0,15.0,0.08333333333333333,0.08947368421052632,0.02065271860003818,0.05327300044855168,0.1338361191950493,0.08056311874649763,0.5526315789473685,2344.474668480109,9.329777703247188,17.0,173.0
Homicide Offenses,150.0,33.0,0.22,0.21875,0.03258037719641793,0.1583707675863346,0.28578544047740356,0.12741467289106898,0.09374999999999994,942.08,0.1830523993807951,35.0,125.0
Kidnapping/Abduction,123.0,44.0,0.35772357723577236,0.3458646616541353,0.04108984490450363,0.26767725505331563,0.4284434402622162,0.16076618520890057,0.7293233082706765,592.2853573213393,8.235657227413824,46.0,87.0
Animal Cruelty,88.0,25.0,0.2840909090909091,0.2755102040816326,0.04490217554835231,0.1921128039700469,0.3675839698801073,0.17547116591006037,0.3775510204081631,495.98122065727705,1.7777352539371236,27.0,71.0
Sex Offences Non-forcible,50.0,4.0,0.08,0.1,0.03841106397986879,0.038244492910652204,0.18679433547169688,0.14854984256104467,0.5,677.7777777777778,2.7638864217606782,6.0,54.0
Prostitution Offenses,16.0,2.0,0.125,0.15384615384615385,0.06943622568064924,0.04537945237170958,0.31219030728623537,0.2668108549145258,0.23076923076923078,207.4090909090909,0.31456296316414845,4.0,22.0
Bribery,16.0,4.0,0.25,0.23076923076923078,0.08108404256841999,0.09356443933174285,0.4070374322786773,0.3134729929469344,0.15384615384615385,152.1,0.11811195160598498,6.0,20.0
Other Offenses,13.0,7.0,0.5384615384615384,0.391304347826087,0.09962121075990957,0.2070931229971492,0.5934233311743533,0.3863302081772041,0.9565217391304348,100.76190476190477,3.6325129066795068,9.0,14.0
Gambling Offenses,1.0,0.0,0.0,0.18181818181818182,0.11134044285378082,0.02521072632683336,0.4450161170281954,0.419805390701362,0.09090909090909094,80.66666666666667,0.0,2.0,9.0
