offense_category_name,Number_of_Incidents,Number_of_Arrests,Arrest_Rate
Larceny/Theft Offenses,27614,2646,0.0958
Assault Offenses,23550,9721,0.4128
Destruction/Damage/Vandalism of Property,13335,1319,0.0989
Motor Vehicle Theft,7482,198,0.0265
Fraud Offenses,6104,130,0.0213
Drug/Narcotic Offenses,5149,2924,0.5679
Burglary/Breaking & Entering,4985,304,0.061
Weapon Law Violations,3830,489,0.1277
Sex Offenses,1432,78,0.0545
Stolen Property Offenses,707,329,0.4653
Embezzlement,665,85,0.1278
Robbery,495,40,0.0808
Counterfeiting/Forgery,480,17,0.0354
Arson,226,23,0.1018
Extortion/Blackmail,213,2,0.0094
Pornography/Obscene Material,180,15,0.0833
Homicide Offenses,150,33,0.22
Kidnapping/Abduction,123,44,0.3577
Animal Cruelty,88,25,0.2841
Sex Offences Non-forcible,50,4,0.08
Prostitution Offenses,16,2,0.125
Bribery,16,4,0.25
Other Offenses,13,7,0.5385
Gambling Offenses,1,0,0.0
