incident_id,ARREST,incident_hour,offense_category_name,crime_against,victim_type_name,weapon_name,agency_type_name,population_group,victim_age_group,offender_age_group,stolen_count,recovered_count,suburban_area
173660721,0,10.0,Fraud Offenses,Property,Individual,Personal Weapons,City,500K+,36-50,26-35,1.0,1.0,N
173660732,0,22.0,Destruction/Damage/Vandalism of Property,Property,Individual,Personal Weapons,City,500K+,26-35,36-50,1.0,1.0,N
173660734,0,15.0,Larceny/Theft Offenses,Property,Individual,Personal Weapons,City,500K+,36-50,51-65,1.0,1.0,N
173660740,0,22.0,Burglary/Breaking & Entering,Property,Individual,Personal Weapons,City,500K+,26-35,26-35,1.0,1.0,N
165375315,1,23.0,Kidnapping/Abduction,Person,Individual,Personal Weapons,City,10K-50K,18-25,26-35,1.0,1.0,N
165375321,0,0.0,Burglary/Breaking & Entering,Property,Individual,Personal Weapons,City,10K-50K,18-25,26-35,1.0,1.0,N
165375331,0,19.0,Assault Offenses,Person,Individual,Personal Weapons,City,10K-50K,26-35,36-50,1.0,1.0,N
165375334,0,4.0,Assault Offenses,Person,Individual,Personal Weapons,City,10K-50K,26-35,18-25,1.0,1.0,N
165375338,0,17.0,Assault Offenses,Person,Individual,Personal Weapons,City,10K-50K,26-35,26-35,1.0,1.0,N
165375361,0,8.0,Motor Vehicle Theft,Property,Individual,Personal Weapons,City,10K-50K,26-35,26-35,1.0,1.0,N
165375371,0,0.0,Larceny/Theft Offenses,Property,Individual,Personal Weapons,City,10K-50K,18-25,26-35,1.0,1.0,N
165375375,0,11.0,Larceny/Theft Offenses,Property,Individual,Personal Weapons,City,10K-50K,18-25,26-35,1.0,1.0,N
165376752,0,12.0,Assault Offenses,Person,Individual,Personal Weapons,County,10K-50K,18-25,36-50,1.0,1.0,Y
165376754,0,21.0,Sex Offenses,Person,Individual,Personal Weapons,County,10K-50K,26-35,26-35,1.0,1.0,Y
165376756,0,17.0,Assault Offenses,Person,Individual,Personal Weapons,County,10K-50K,18-25,36-50,1.0,1.0,Y
165454273,1,1.0,Assault Offenses,Person,Individual,Personal Weapons,County,100K-500K,18-25,26-35,1.0,1.0,Y
