Crime_Category,N_Incidents,N_Arrests,Observed_Rate,Posterior_Mean,Posterior_Std,Credible_Interval_Lower,Credible_Interval_Upper,Alpha_Posterior,Beta_Posterior
Assault Offenses,13138,13138,1.0,0.9993915424399148,0.00021504859922610373,0.9989032779965297,0.9997372557924229,13140,8
Drug/Narcotic Offenses,4622,4622,1.0,0.998272884283247,0.000610034231020015,0.9968881193999002,0.9992539072582256,4624,8
Larceny/Theft Offenses,3568,3568,1.0,0.9977641140301845,0.0007895105107179345,0.9959721233678849,0.9990339542157644,3570,8
Destruction/Damage/Vandalism of Property,1557,1557,1.0,0.9948947032546267,0.0017998073682559607,0.9908119325796779,0.9977919853766275,1559,8
Stolen Property Offenses,855,855,1.0,0.9907514450867052,0.0032528223924040037,0.9833787207067205,0.9959942743680437,857,8
Burglary/Breaking & Entering,751,751,1.0,0.9894875164257556,0.003694709856406291,0.9811153606548465,0.9954448358536732,753,8
Weapon Law Violations,628,628,1.0,0.987460815047022,0.00440194042319379,0.9774901717537443,0.9945628015228166,630,8
Motor Vehicle Theft,315,315,1.0,0.9753846153846154,0.008581880515175708,0.9559940973048122,0.9892810927856462,317,8
All Other Offenses,312,312,1.0,0.9751552795031055,0.008660693806770352,0.9555876112394166,0.9891803544363618,314,8
Kidnapping/Abduction,217,217,1.0,0.9647577092511013,0.012211633741955661,0.9372268160669527,0.98459589551664,219,8
Fraud Offenses,189,189,1.0,0.9597989949748744,0.013889723578980155,0.9285175774848082,0.9823975679015686,191,8
Robbery,174,174,1.0,0.9565217391304348,0.014993314131832273,0.9227783552991737,0.9809404010213134,176,8
Embezzlement,109,109,1.0,0.9327731092436975,0.022859614300395705,0.8815902304878741,0.9702778209337876,111,8
Sex Offenses,100,100,1.0,0.9272727272727272,0.02464852325107509,0.8721517762736472,0.9677819875203987,102,8
Disorderly Conduct,84,84,1.0,0.9148936170212766,0.02862889349388541,0.8510496294943201,0.9621279639066349,86,8
Driving Under the Influence,63,63,1.0,0.8904109589041096,0.036313068745617856,0.8098896595544408,0.950791960729359,65,8
Homicide Offenses,49,49,1.0,0.864406779661017,0.04419798240815355,0.7670163622920063,0.9385203370342645,51,8
Counterfeiting/Forgery,47,47,1.0,0.8596491228070176,0.04560938130664432,0.7592674203479312,0.9362486344412272,49,8
Arson,38,38,1.0,0.8333333333333334,0.05323971374999499,0.7169424657567025,0.9235305219889314,40,8
Trespass of Real Property,32,32,1.0,0.8095238095238095,0.05988263935590598,0.6794391205510903,0.9117938983371487,34,8
Animal Cruelty,30,30,1.0,0.8,0.062469504755442426,0.6646504388730692,0.9070360727170044,32,8
Family Offenses Nonviolent,20,20,1.0,0.7333333333333333,0.07942445295750275,0.5645996540114667,0.8726598858977699,22,8
Pornography/Obscene Material,18,18,1.0,0.7142857142857143,0.08388860278781478,0.5371512577238284,0.8624734460594208,20,8
Liquor Law Violations,16,16,1.0,0.6923076923076923,0.0888231183368655,0.5061231781937445,0.8505045773864304,18,8
Bribery,7,7,1.0,0.5294117647058824,0.11764705882352941,0.2987768990831778,0.7534898885094247,9,8
Other Offenses,5,5,1.0,0.4666666666666667,0.12472191289246472,0.23036054144806237,0.7113905999616925,7,8
Prostitution Offenses,3,3,1.0,0.38461538461538464,0.13002373149669486,0.15165222980843013,0.6511244935811844,5,8
Sex Offenses Non-forcible,3,3,1.0,0.38461538461538464,0.13002373149669486,0.15165222980843013,0.6511244935811844,5,8
Extortion/Blackmail,3,3,1.0,0.38461538461538464,0.13002373149669486,0.15165222980843013,0.6511244935811844,5,8
Human Trafficking,1,1,1.0,0.2727272727272727,0.128564869306645,0.06673951117773447,0.5560954623076415,3,8
Gambling Offenses,1,1,1.0,0.2727272727272727,0.128564869306645,0.06673951117773447,0.5560954623076415,3,8
