

Table: Bayesian Arrest Rate Analysis by Offense Category

|Offense Category                         | N Incidents| N Arrests| Observed Rate| Posterior Mean| Lower 95% CI| Upper 95% CI|
|:----------------------------------------|-----------:|---------:|-------------:|--------------:|------------:|------------:|
|Larceny/Theft Offenses                   |       27614|      2646|        0.0958|         0.0959|       0.0924|       0.0994|
|Assault Offenses                         |       23550|      9721|        0.4128|         0.4127|       0.4064|       0.4190|
|Destruction/Damage/Vandalism of Property |       13335|      1319|        0.0989|         0.0990|       0.0940|       0.1041|
|Motor Vehicle Theft                      |        7482|       198|        0.0265|         0.0267|       0.0232|       0.0305|
|Fraud Offenses                           |        6104|       130|        0.0213|         0.0216|       0.0181|       0.0254|
|Drug/Narcotic Offenses                   |        5149|      2924|        0.5679|         0.5672|       0.5536|       0.5807|
|Burglary/Breaking & Entering             |        4985|       304|        0.0610|         0.0613|       0.0548|       0.0681|
|Weapon Law Violations                    |        3830|       489|        0.1277|         0.1279|       0.1175|       0.1386|
|Sex Offenses                             |        1432|        78|        0.0545|         0.0555|       0.0443|       0.0679|
|Stolen Property Offenses                 |         707|       329|        0.4653|         0.4616|       0.4253|       0.4982|
|Embezzlement                             |         665|        85|        0.1278|         0.1289|       0.1047|       0.1552|
|Robbery                                  |         495|        40|        0.0808|         0.0832|       0.0607|       0.1087|
|Counterfeiting/Forgery                   |         480|        17|        0.0354|         0.0388|       0.0236|       0.0576|
|Arson                                    |         226|        23|        0.1018|         0.1059|       0.0700|       0.1481|
|Extortion/Blackmail                      |         213|         2|        0.0094|         0.0179|       0.0049|       0.0390|
|Pornography/Obscene Material             |         180|        15|        0.0833|         0.0895|       0.0533|       0.1338|
|Homicide Offenses                        |         150|        33|        0.2200|         0.2188|       0.1584|       0.2858|
|Kidnapping/Abduction                     |         123|        44|        0.3577|         0.3459|       0.2677|       0.4284|
|Animal Cruelty                           |          88|        25|        0.2841|         0.2755|       0.1921|       0.3676|
