incident_id,data_year,offense_code,offense_category_name,crime_against,ct_flag,hc_flag,hc_code,weapon_name,num_arrests,incident_date,arrest_type_name,avg_arrestee_age,sex_code,race_desc,ethnicity_name,MULTIPLE_ARRESTS,ARREST
163898431,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-03,On View,24.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
163898458,2023,90C,Disorderly Conduct,Society,f,f,,Unarmed,1,2023-01-06,On View,35.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
163898473,2023,90Z,All Other Offenses,Society,f,f,,Unarmed,1,2023-01-06,On View,33.0,F,American Indian or Alaska Native,Not Hispanic or Latino,0,1
163983331,2023,90Z,All Other Offenses,Society,f,f,,Rifle,1,2023-01-08,On View,30.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
163991580,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-03,Taken INTO Custody,39.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
163992689,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-07,Taken INTO Custody,27.0,M,White,Hispanic or Latino,0,1
164068350,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-09,On View,17.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164068362,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-09,On View,17.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164178408,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-01,Taken INTO Custody,32.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164215079,2023,290,Destruction/Damage/Vandalism of Property,Property,f,t,11.0,Unarmed,1,2023-01-01,Taken INTO Custody,34.0,F,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164481414,2023,90Z,All Other Offenses,Society,f,f,,Unarmed,1,2023-01-13,On View,27.0,F,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164533090,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-02,Taken INTO Custody,52.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164533145,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-02,Taken INTO Custody,41.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164736163,2023,290,Destruction/Damage/Vandalism of Property,Property,f,t,11.0,Lethal Cutting Instrument,1,2023-01-06,On View,19.0,M,White,Not Specified,0,1
164817281,2023,13B,Assault Offenses,Person,f,t,9.0,Lethal Cutting Instrument,1,2023-01-14,On View,25.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164817285,2023,13A,Assault Offenses,Person,f,t,4.0,Lethal Cutting Instrument,1,2023-01-16,On View,27.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164817291,2023,90Z,All Other Offenses,Society,f,f,,Unarmed,1,2023-01-18,On View,38.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164817389,2023,90Z,All Other Offenses,Society,f,f,,Unarmed,1,2023-01-19,On View,25.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
164969313,2023,520,Weapon Law Violations,Society,f,t,,Unarmed,1,2023-01-01,Taken INTO Custody,77.0,M,White,Not Specified,0,1
164969317,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-17,Summoned / Cited,30.0,M,White,Hispanic or Latino,0,1
164969325,2023,240,Motor Vehicle Theft,Property,t,t,7.0,Unarmed,1,2023-01-11,Summoned / Cited,32.0,M,White,Hispanic or Latino,0,1
164986488,2023,13A,Assault Offenses,Person,f,t,4.0,Lethal Cutting Instrument,1,2023-01-23,On View,38.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165110080,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Handgun,2,2023-01-12,Taken INTO Custody,24.0,F,White,Hispanic or Latino,1,1
165132109,2023,90Z,All Other Offenses,Society,f,f,,Unarmed,1,2023-01-25,On View,32.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165333826,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Unarmed,1,2023-01-14,Taken INTO Custody,42.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165333891,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-23,Taken INTO Custody,35.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165364863,2023,90C,Disorderly Conduct,Society,f,f,,Unarmed,2,2023-01-12,Taken INTO Custody,32.0,F,American Indian or Alaska Native,Not Hispanic or Latino,1,1
165365824,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Unarmed,1,2023-01-13,Taken INTO Custody,48.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165366392,2023,90C,Disorderly Conduct,Society,f,f,,Club/Blackjack/Brass Knuckles,1,2023-01-21,Taken INTO Custody,32.0,M,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165370151,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-21,Taken INTO Custody,45.0,F,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165370180,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-21,Taken INTO Custody,43.0,F,American Indian or Alaska Native,Not Hispanic or Latino,0,1
165375044,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-03,Taken INTO Custody,61.0,M,White,Hispanic or Latino,0,1
165375067,2023,23C,Larceny/Theft Offenses,Property,f,t,,Unarmed,2,2023-01-06,Summoned / Cited,27.0,F,White,Hispanic or Latino,1,1
165375074,2023,23C,Larceny/Theft Offenses,Property,f,t,,Unarmed,2,2023-01-06,Summoned / Cited,25.0,F,White,Hispanic or Latino,1,1
165375087,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-07,On View,20.0,F,White,Hispanic or Latino,0,1
165375094,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-08,On View,45.0,F,White,Hispanic or Latino,0,1
165375133,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-11,On View,36.0,M,White,Hispanic or Latino,0,1
165375145,2023,23C,Larceny/Theft Offenses,Property,f,t,,Unarmed,1,2023-01-11,Summoned / Cited,35.0,F,White,Hispanic or Latino,0,1
165375147,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-11,On View,37.0,M,White,Not Hispanic or Latino,0,1
165375158,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Unarmed,1,2023-01-12,Taken INTO Custody,28.0,M,White,Hispanic or Latino,0,1
165375170,2023,23H,Larceny/Theft Offenses,Property,t,t,,Unarmed,1,2023-01-12,Taken INTO Custody,38.0,M,Black or African American,Not Hispanic or Latino,0,1
165375212,2023,200,Arson,Property,f,t,8.0,Unarmed,1,2023-01-15,Summoned / Cited,56.0,M,White,Not Hispanic or Latino,0,1
165375250,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-17,Summoned / Cited,12.0,M,White,Hispanic or Latino,0,1
165375278,2023,23C,Larceny/Theft Offenses,Property,f,t,,Unarmed,1,2023-01-19,On View,55.0,M,White,Not Hispanic or Latino,0,1
165375283,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Unarmed,1,2023-01-19,On View,28.0,M,White,Hispanic or Latino,0,1
165375315,2023,100,Kidnapping/Abduction,Person,f,t,,Unarmed,1,2023-01-23,On View,28.0,M,White,Hispanic or Latino,0,1
165375327,2023,220,Burglary/Breaking & Entering,Property,t,t,5.0,Unarmed,1,2023-01-23,On View,48.0,M,White,Not Hispanic or Latino,0,1
165375342,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-25,On View,58.0,F,White,Not Hispanic or Latino,0,1
165375352,2023,23C,Larceny/Theft Offenses,Property,f,t,,Unarmed,1,2023-01-26,On View,24.0,M,White,Hispanic or Latino,0,1
165375363,2023,13A,Assault Offenses,Person,f,t,4.0,Unarmed,1,2023-01-27,On View,18.0,M,White,Hispanic or Latino,0,1
165375365,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-28,On View,52.0,M,White,Hispanic or Latino,0,1
165454273,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-01,Summoned / Cited,30.0,M,White,Hispanic or Latino,0,1
165454278,2023,240,Motor Vehicle Theft,Property,t,t,7.0,Unarmed,1,2023-01-01,Taken INTO Custody,31.0,M,White,Hispanic or Latino,0,1
165454304,2023,720,Animal Cruelty,Society,f,f,,Unarmed,1,2023-01-01,Taken INTO Custody,42.0,M,Unknown,Unknown,0,1
165454312,2023,290,Destruction/Damage/Vandalism of Property,Property,f,t,11.0,Unarmed,1,2023-01-02,Taken INTO Custody,23.0,M,White,Hispanic or Latino,0,1
165454315,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-02,Summoned / Cited,60.0,M,White,Not Hispanic or Latino,0,1
165454321,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-02,Summoned / Cited,44.0,F,Black or African American,Not Hispanic or Latino,0,1
165454328,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-02,Summoned / Cited,33.0,M,Unknown,Unknown,0,1
165454331,2023,250,Counterfeiting/Forgery,Property,f,t,,Unarmed,1,2023-01-02,Taken INTO Custody,61.0,M,White,Hispanic or Latino,0,1
165454333,2023,26B,Fraud Offenses,Property,t,t,,Unarmed,1,2023-01-02,Taken INTO Custody,42.0,M,White,Hispanic or Latino,0,1
165454337,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-03,Summoned / Cited,22.0,F,White,Not Hispanic or Latino,0,1
165454339,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Handgun,1,2023-01-03,Taken INTO Custody,21.0,M,White,Hispanic or Latino,0,1
165454341,2023,13B,Assault Offenses,Person,f,t,9.0,Unarmed,1,2023-01-03,Summoned / Cited,31.0,M,Asian,Unknown,0,1
165454342,2023,290,Destruction/Damage/Vandalism of Property,Property,f,t,11.0,Unarmed,1,2023-01-03,Summoned / Cited,21.0,M,White,Unknown,0,1
165454346,2023,290,Destruction/Damage/Vandalism of Property,Property,f,t,11.0,Unarmed,1,2023-01-03,Taken INTO Custody,26.0,M,White,Hispanic or Latino,0,1
165454370,2023,35A,Drug/Narcotic Offenses,Society,f,t,,Unarmed,1,2023-01-04,Taken INTO Custody,36.0,M,Unknown,Unknown,0,1
